method,risk,auroc,accuracy,balanced_accuracy,brier,obs_risk,obs_auroc,obs_accuracy,obs_balanced_accuracy,obs_brier,auroc_lo,auroc_hi,auroc_width,worstcase_risk,minimax_regret,dataset,seed,gamma0,selection_rate,true_prevalence,abstention_rate,gamma,criterion,direction
DCL-dir-reg(G=1.5),0.5315250210901583,0.6679301885715139,0.7582142857142857,0.5187452707947431,0.17519401743811852,0.5792893342945553,0.6764878747439673,0.7045696068012752,0.5226939987962493,0.19692683963112106,0.48750950194118237,0.7249860447187537,0.23747654277757135,0.7126595077658513,0.056371580691117695,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0,1.5,regret,censored-lower
DCL-dir(G=2),0.5368398010895133,0.6654244063598926,0.7573214285714286,0.51062051116654,0.1772455058622843,0.578936468499131,0.6772946939563941,0.7010272759475735,0.5147038384571261,0.1966701758357329,0.48877855797064557,0.7253133019084217,0.23653474393777613,0.6978508376538117,0.04224048820425376,sl_bench,0,2.999294013367573,0.5029375,0.246,0.02107142857142857,2.0,risk,censored-lower
DCL-dir-reg(G=2),0.5294023161305104,0.6686973207471532,0.7580357142857143,0.5154681555272183,0.17445783432778958,0.5810592547870864,0.6752158094163458,0.7031526744597946,0.5197535255643907,0.19777078420977728,0.4861472760748398,0.7241727293819614,0.2380254533071216,0.7228754364196379,0.06688462426229798,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0,2.0,regret,censored-lower
DCL-dir(G=3),0.5370259043473721,0.6653808543767429,0.7558928571428571,0.5062704567865736,0.17733937895608465,0.5793847594986965,0.6772287350134802,0.6971307120085016,0.5080552359033371,0.19689194962655945,0.48876367822360284,0.7253054906674874,0.23654181244388456,0.697824401661885,0.0424175224694939,sl_bench,0,2.999294013367573,0.5029375,0.246,0.024642857142857143,3.0,risk,censored-lower
DCL-dir-reg(G=3),0.5279936183021304,0.6686527399769998,0.7569642857142858,0.5111122713542318,0.17405701177470498,0.5839976054310566,0.6726463552383768,0.7010272759475735,0.515662304346341,0.1990927887002399,0.48379449425175874,0.722478345013357,0.2386838507615982,0.7364406714416711,0.08070229427020732,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0,3.0,regret,censored-lower
DCL-dir(G=5),0.5371216074500308,0.6653243568237984,0.7541071428571429,0.502412162594299,0.17738714074706002,0.5796025812314995,0.6771704320192976,0.69394261424017,0.5028768699654775,0.19700021948791338,0.488748215407346,0.7252987910714603,0.23655057566411436,0.6978381656104249,0.04253347923567149,sl_bench,0,2.999294013367573,0.5029375,0.246,0.026785714285714284,5.0,risk,censored-lower
DCL-dir-reg(G=5),0.5278257182203983,0.6672493030396713,0.7576785714285714,0.5108576465708558,0.17414871846002006,0.587678228733452,0.6691681988379448,0.7010272759475735,0.5147038384571261,0.20067229615737803,0.48068041283089463,0.7199427594546082,0.23926234662371354,0.7509387594913175,0.0953949419569857,sl_bench,0,2.999294013367573,0.5029375,0.246,0.0,5.0,regret,censored-lower
ERM-observed,0.5702015771000742,0.6190964823065994,0.7217857142857143,0.5533734771191183,0.19194154678662276,0.6302900853628639,0.6109174011884384,0.6698446327683616,0.5508251205589805,0.2175336161797188,0.4365455180503445,0.6805977162933273,0.2440521982429828,0.7996372871274156,0.14079258060895822,sl_bench,1,2.999974706559502,0.5045,0.247375,,,,
IPW,0.5767359444206723,0.6141649446812174,0.7132142857142857,0.5455438245296828,0.19445230720138304,0.6383355471013898,0.6039307164705057,0.6638418079096046,0.5461086374965969,0.2204086197701043,0.4344771156930134,0.6813484835637403,0.24687136787072694,0.8173320974265259,0.15850192280440528,sl_bench,1,2.999974706559502,0.5045,0.247375,,,,
AIPW,0.5535455507144426,0.6355468245512076,0.7383928571428572,0.5397496125532739,0.18513550556917036,0.6045424363277331,0.6342375518464973,0.6807909604519774,0.5399541222353053,0.20828862777323617,0.43340080987481633,0.6762292976552111,0.24282848778039479,0.7520136423768488,0.08803310034764075,sl_bench,1,2.999974706559502,0.5045,0.247375,,,,
