method,risk,auroc,accuracy,balanced_accuracy,brier,obs_risk,obs_auroc,obs_accuracy,obs_balanced_accuracy,obs_brier,auroc_lo,auroc_hi,auroc_width,worstcase_risk,minimax_regret,dataset,seed,gamma0,selection_rate,true_prevalence,abstention_rate,gamma,criterion,direction
ERM-observed,0.564573255411257,0.6719686866999841,0.7246428571428571,0.5969945741314113,0.18919721167230164,0.5576998474112175,0.6856753352615851,0.7375886524822695,0.5835661472083786,0.18448292020557805,0.513486605375269,0.7593172567583722,0.24583065138310323,0.7663005232957835,0.14699668575613525,sl_bench,2,3.247423721518188,0.5056875,0.245875,,,,
IPW,0.5676748456637873,0.6682381558042233,0.7201785714285714,0.5916051063975574,0.19049047269730465,0.5565381007148392,0.6872819270905703,0.7304964539007093,0.5774644279822321,0.18536869208267104,0.5117479966783238,0.7583977762482749,0.24664977956995104,0.7702058839294075,0.15021144623204497,sl_bench,2,3.247423721518188,0.5056875,0.245875,,,,
AIPW,0.5366596625411745,0.6776377986476012,0.7385714285714285,0.5737674028204239,0.17772152047659676,0.5405881971915173,0.693955462380202,0.7358156028368794,0.5551754476397699,0.17855480810307936,0.5081238853040904,0.753759668706983,0.2456357834028926,0.7161541583981762,0.09233233036407039,sl_bench,2,3.247423721518188,0.5056875,0.245875,,,,
Imputation,0.525693156743106,0.6853561502455987,0.7517857142857143,0.5629122396803576,0.17402453643378474,0.5302625424750153,0.702864395069191,0.7379432624113476,0.5390679077999425,0.17665274860266264,0.5151389817058456,0.7576736787207906,0.242534697014945,0.6920282442060559,0.06372593670139344,sl_bench,2,3.247423721518188,0.5056875,0.245875,,,,
Heckman(rho=+0.25),0.5083253077050073,0.7065459014778748,0.7623214285714286,0.5621546736556308,0.16726559427639762,0.5227073607915931,0.7266130111526544,0.747872340425532,0.5387458210362998,0.17380166547512763,0.505255339697884,0.7514908510133127,0.24623551131542865,0.7421951531784863,0.11154836303557825,sl_bench,2,3.247423721518188,0.5056875,0.245875,,,,
DCL(G=1),0.5297403615325202,0.679725580379511,0.7525,0.5466620416168831,0.17499104948111902,0.5380653246397755,0.6926972109079197,0.7379432624113476,0.5286144954411596,0.17912093704043347,0.5222000164359969,0.7656199966743099,0.24341998023831302,0.6846837179897094,0.04410062417817356,sl_bench,2,3.247423721518188,0.5056875,0.245875,0.0,1.0,risk,two-sided
DCL-reg(G=1),0.5297403615325202,0.679725580379511,0.7525,0.5466620416168831,0.17499104948111902,0.5380653246397755,0.6926972109079197,0.7379432624113476,0.5286144954411596,0.17912093704043347,0.5222000164359969,0.7656199966743099,0.24341998023831302,0.6846837179897094,0.04410062417817356,sl_bench,2,3.247423721518188,0.5056875,0.245875,0.0,1.0,regret,two-sided
DCL(G=1.5),0.5408662632120959,0.6801226494683335,0.7541071428571429,0.5266419997344879,0.17950826088781738,0.5402756235005014,0.695457680168484,0.7347517730496453,0.5134709747318772,0.17972266884906807,0.5219152626374075,0.7650061073039095,0.243090844666502,0.6613656345962516,0.04738569185183476,sl_bench,2,3.247423721518188,0.5056875,0.245875,0.08767857142857143,1.5,risk,two-sided
DCL-reg(G=1.5),0.5303011641118167,0.6798228777231051,0.7525,0.5466620416168831,0.1751910407822118,0.5381328389313785,0.6929610275015993,0.7379432624113476,0.5286144954411596,0.17912491196696825,0.5222689166735565,0.7655877550812472,0.24331883840769075,0.6830425259852189,0.042459432173682934,sl_bench,2,3.247423721518188,0.5056875,0.245875,0.0,1.5,regret,two-sided
DCL(G=2),0.55349642137582,0.6790850966335633,0.7564285714285715,0.5192157971144828,0.18494016072039432,0.546619491138753,0.6962728222164308,0.7343971631205674,0.5090472443012094,0.18223364561422975,0.5202872657098058,0.7629464111590554,0.2426591454492496,0.6516863957793532,0.0660008469193817,sl_bench,2,3.247423721518188,0.5056875,0.245875,0.16303571428571428,2.0,risk,two-sided
DCL-reg(G=2),0.5314130250043646,0.6799241149239222,0.7525,0.5466620416168831,0.17559177873780604,0.5383507921666205,0.6933433054298194,0.7379432624113476,0.5286144954411596,0.17916623212699984,0.5223854889044526,0.7655208102983346,0.24313532139388205,0.6801494533642298,0.03956635955269392,sl_bench,2,3.247423721518188,0.5056875,0.245875,0.0,2.0,regret,two-sided
DCL(G=3),0.5755492181910219,0.6721296213026368,0.75625,0.5108560196307669,0.19475217184913415,0.5615696505481991,0.6944914198775558,0.7336879432624114,0.5047992848777383,0.1886013740686607,0.5152870745551198,0.75598027820618,0.24069320365106017,0.646391725894923,0.0927935383878194,sl_bench,2,3.247423721518188,0.5056875,0.245875,0.2810714285714286,3.0,risk,two-sided
DCL-reg(G=3),0.5340638465784058,0.6802622574525397,0.7525,0.5466620416168831,0.1765662846395337,0.5391906739464248,0.694237208256947,0.7379432624113476,0.5286144954411596,0.1793956395349002,0.5225867234133147,0.7653531478694131,0.24276642445609842,0.6746151219500751,0.03403202813853916,sl_bench,2,3.247423721518188,0.5056875,0.245875,0.0,3.0,regret,two-sided
DCL(G=5),0.6037809532082838,0.658554329346369,0.7548214285714285,0.5050592905687527,0.20762439154874057,0.585896334958595,0.685383664246,0.7329787234042553,0.5026420079260238,0.1994424644542112,0.50581731953338,0.7408186112952413,0.23500129176186124,0.6490691362008223,0.12328744533506605,sl_bench,2,3.247423721518188,0.5056875,0.245875,0.42232142857142857,5.0,risk,two-sided
DCL-reg(G=5),0.5390933393953271,0.6806569283674001,0.7525,0.5466620416168831,0.17847305605898886,0.5415325114408635,0.6954973807238436,0.7379432624113476,0.5286144954411596,0.18015289183652727,0.5227580332598811,0.7650008560738784,0.24224282281399723,0.6672480966420704,0.03946029786704111,sl_bench,2,3.247423721518188,0.5056875,0.245875,0.0,5.0,regret,two-sided
Manski(G=inf),0.6723817842475005,0.5698631756105708,0.7526785714285714,0.5,0.2399006038743753,0.6627089287439587,0.5998913997711456,0.7315602836879432,0.5,0.2352387174414593,0.4956429380711496,0.6057710271550667,0.11012808908391708,0.6790161970728785,0.19038016732201962,sl_bench,2,3.247423721518188,0.5056875,0.245875,,,,
ORACLE(uncensored),0.5194115261465458,0.681933099511372,0.7596428571428572,0.5434082334451054,0.17126312603199578,0.5427213050548133,0.6953846823731455,0.7375886524822695,0.519173127078276,0.18147852280974736,0.5058533685839754,0.7523282092341216,0.24647484065014613,0.7396327131840452,0.10807102083236744,sl_bench,2,3.247423721518188,0.5056875,0.245875,,,,
