gamma,log_gamma,B,n,seed,deviation
6.0,1.791759469228055,6.7550498742596385,8000,1,0.023810214154849296
6.0,1.791759469228055,6.7550498742596385,8000,2,0.02740766442101128
6.0,1.791759469228055,6.7550498742596385,8000,3,0.04180470009064696
6.0,1.791759469228055,6.7550498742596385,8000,4,0.028166114054751112
6.0,1.791759469228055,6.7550498742596385,8000,5,0.025409069252759764
6.0,1.791759469228055,6.7550498742596385,8000,6,0.027698402860485638
6.0,1.791759469228055,6.7550498742596385,8000,7,0.02443850060892494
12.0,2.4849066497880004,7.448197054819584,250,0,0.15256907636905281
12.0,2.4849066497880004,7.448197054819584,250,1,0.17994576667726547
12.0,2.4849066497880004,7.448197054819584,250,2,0.17559287417863145
12.0,2.4849066497880004,7.448197054819584,250,3,0.16232542136497785
12.0,2.4849066497880004,7.448197054819584,250,4,0.158811087946102
12.0,2.4849066497880004,7.448197054819584,250,5,0.22186148188664756
12.0,2.4849066497880004,7.448197054819584,250,6,0.16442152207123795
12.0,2.4849066497880004,7.448197054819584,250,7,0.21847707708334285
12.0,2.4849066497880004,7.448197054819584,500,0,0.12590019560712062
12.0,2.4849066497880004,7.448197054819584,500,1,0.10241120355567412
12.0,2.4849066497880004,7.448197054819584,500,2,0.11355893230738445
12.0,2.4849066497880004,7.448197054819584,500,3,0.1225648090167839
12.0,2.4849066497880004,7.448197054819584,500,4,0.0936811084641207
12.0,2.4849066497880004,7.448197054819584,500,5,0.10192582085133117
12.0,2.4849066497880004,7.448197054819584,500,6,0.1306430927970128
12.0,2.4849066497880004,7.448197054819584,500,7,0.13415304461686195
12.0,2.4849066497880004,7.448197054819584,1000,0,0.1478172550152983
12.0,2.4849066497880004,7.448197054819584,1000,1,0.07751495415010101
12.0,2.4849066497880004,7.448197054819584,1000,2,0.09716291774449348
12.0,2.4849066497880004,7.448197054819584,1000,3,0.06095419786590628
12.0,2.4849066497880004,7.448197054819584,1000,4,0.09752632806592687
12.0,2.4849066497880004,7.448197054819584,1000,5,0.09177007940730975
12.0,2.4849066497880004,7.448197054819584,1000,6,0.08741880036345284
12.0,2.4849066497880004,7.448197054819584,1000,7,0.09549013536503259
12.0,2.4849066497880004,7.448197054819584,2000,0,0.07165967248738214
12.0,2.4849066497880004,7.448197054819584,2000,1,0.05101747619466179
12.0,2.4849066497880004,7.448197054819584,2000,2,0.05561666757228867
12.0,2.4849066497880004,7.448197054819584,2000,3,0.057998600098282616
12.0,2.4849066497880004,7.448197054819584,2000,4,0.06644045675581811
12.0,2.4849066497880004,7.448197054819584,2000,5,0.06708990264372194
12.0,2.4849066497880004,7.448197054819584,2000,6,0.06627848181339169
12.0,2.4849066497880004,7.448197054819584,2000,7,0.06483915007549879
12.0,2.4849066497880004,7.448197054819584,4000,0,0.03942776564089967
12.0,2.4849066497880004,7.448197054819584,4000,1,0.044583324191767915
12.0,2.4849066497880004,7.448197054819584,4000,2,0.045145781967196985
12.0,2.4849066497880004,7.448197054819584,4000,3,0.06098899208889397
12.0,2.4849066497880004,7.448197054819584,4000,4,0.031900127187716176
12.0,2.4849066497880004,7.448197054819584,4000,5,0.03198089103362678
12.0,2.4849066497880004,7.448197054819584,4000,6,0.03542842662446044
12.0,2.4849066497880004,7.448197054819584,4000,7,0.05066749719075325
12.0,2.4849066497880004,7.448197054819584,8000,0,0.029350480919868582
12.0,2.4849066497880004,7.448197054819584,8000,1,0.0248519748179159
12.0,2.4849066497880004,7.448197054819584,8000,2,0.03864363721465258
12.0,2.4849066497880004,7.448197054819584,8000,3,0.037750253586064986
12.0,2.4849066497880004,7.448197054819584,8000,4,0.032948856301979745
12.0,2.4849066497880004,7.448197054819584,8000,5,0.030997592969385313
12.0,2.4849066497880004,7.448197054819584,8000,6,0.03068588330121047
12.0,2.4849066497880004,7.448197054819584,8000,7,0.03649497968749582
